Produto,peso,Preço,Categoria,Estoque,Descrição,SKU,Imagem
Acid Absolut Repair - Acidificante - EcoBelle 500 mL,500 mL,"64,9",Máscaras,Em estoque,"Este tratamento equilibra o pH capilar após a limpeza, selando as cutículas e restaurando a estrutura dos fios. Sua fórmula reúne um blend de Queratina, Aminoácidos e Colágeno, que atuam na reconstrução da fibra capilar, devolvendo força e elasticidade.O Pantenol promove hidratação duradoura, enquanto o Óleo de Coco, a Proteína da Seda e a Proteína de Quinoa nutrem e revitalizam, proporcionando maciez, resistência e brilho intenso.pH 2,5 - 3,0",VEHZKS3RJ,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/acid-absolut-repair-acidificante-ecobelle-500-ml-6a6a6190e11d0-large.png
Ampola Semi Di Lino 15mL (4 UNIDADES),15mL,"49,2",S.O.S Cauterização,Em estoque,"Com uma fórmula concentrada, a ampola Semi Di Lino EcoBelle traz um resultado imediato aos fios deixando-os leves e soltos. Seu objetivo é a recuperação imediata dos fios visando a hidratação, reconstrução, restauração e proteção dos cabelos.",25VPFV8HP,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/ampola-semi-di-lino-15ml-4-unidades-646d0ce1f27ef-large.png
Ampolaço NutriSim BelaPro 45 mL,45 mL,"13,14",Bela Pro,Em estoque,"A linha Nutrisim Bela Pro foi desenvolvida com os mais poderosos ativos naturais para nutrir e revitalizar os fios secos, fracos ou quebradiços. A Manteiga de Karité presente na formulação contém Vitamina E com ação antioxidante, que remove células mortas e funciona como um excelente emoliente para os fios. Sua propriedade umectante auxilia na absorção e retenção da umidade dos cabelos. Outro poderoso ativo natural presente na composição é o Óleo de Coco rico em ácidos graxos e proteínas que ajudam no fortalecimento dos fios e protege contra a perda de proteína da fibra capilar, além de ter um alto poder de combate à pontas secas. Essa combinação de elementos é o que resulta em fios nutridos, macios e com brilho intenso, digno de salão de beleza!",Q8ELXT62T,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/ampolaco-nutrisim-belapro-450-ml-6a6a59c4e9d41-large.png
Body Splash Flor da Noite & Baunilha 200 ml BelaPro,200 ml,"32,9",Bela Pro,Em estoque,O Body Splash Flor de Cerejeira &amp; Pêssego da BelaPro é feito para quem quer perfumar a pele suavemente. Sua fragrância é agradável e suave dando uma sensação de bem estar.,UTW2VYA2G,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/body-splash-flor-da-noite-baunilha-200-ml-belapro-6a4c08966e22d-large.png
Body Splash Flor de Cerejeira & Pêssego 200 ml BelaPro,200 ml,"32,9",Bela Pro,Em estoque,O Body Splash Flor de Cerejeira &amp; Pêssego da BelaPro é feito para quem quer perfumar a pele suavemente. Sua fragrância é agradável e suave dando uma sensação de bem estar.,UCH7WQRVG,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/body-spash-flor-de-cerejeira-pessego-200-ml-belapro-6a4c06623437c-large.png
Bye Quebra Eco Belle 250 mL,250 mL,149,Blond Hair,Em estoque,"Modo de uso: AGITE o frasco durante todo o processo de aplicação. Pré mechas: aplique o Bye Quebra por todo o cabelo que sofrerá processo de descoloração. Em seguida seque os fios com o auxílio de um secador e inicie o processo de descoloração. Pós mechas: Se após o processo químico o cabelo apresentar emborrachamento ou extrema agressão aos fios, aplicar o Bye Quebra por todo o cabelo e deixar agir de 5 a 10 minutos. Aquecer todo o fio com o auxílio de um secador e enxague com água fria. Aplicar Shampoo apenas no couro cabeludo e descer apenas a espuma para o comprimento e pontas, sem fazer atrito nos fios. Finalize como desejar. Para um resultado ainda melhor refazer todo procedimento após 3 dias.",HJT8U9H6U,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/bye-quebra-eco-belle-250ml-646d15a2abba5-large.png
Coloração Permanente Shine Express 60g - Camuflagem,60g,120,Shine Express,Em estoque,"A Shine Express Coloração em Creme Permante proporciona cobertura uniforme e efeito de camuflagem dos fios brancos, realçando a beleza dos cabelos com brilho intenso e aparência revitalizada.Sua fórmula foi desenvolvida para promover cor vibrante, aspecto homogêneo e acabamento luminoso, deixando os fios com visual elegante, sedoso e natural.Ideal para quem busca praticidade, resultado sofisticado e cabelos com aparência renovada desde a primeira aplicação.Sem PPD Sem chumbo baixa concentração de amônia Menos agressivo aos fios*Uso Profissional",RTPDWV5JL,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/coloracao-permanente-shine-express-60g-camuflagem-6a0e1eea4400f-large.png
Condicionador Coco & Camomila by Vitória Lima EcoBelle 300 mL,300 mL,35,Condicionador,Em estoque,"A linha Coco &amp; Camomila by Vitória Lima EcoBelle foi desenvolvida com esses dois maravilhosos ativos que proproporcionam juntos luminosidade e maciez aos cabelos. A camomila traz muitos benefícios aos fios além do brilho e luminosidade natural, acalma e refresca o couro cabeludo ao passo que faz uma limpeza delicada. Além disso as propriedades da camomila ajudam no processo de nutrição e hidratação, revitalizando os fios. Já o poderoso óleo de coco, presente nessa formulação, deixa os fios extremamente macios, penetra na fibra capilar, devolvendo os nutrientes que os cabelos precisam para fugir do aspecto ressecado.",22TJS8HBH,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-coco-camomila-by-vitoria-lima-ecobelle-300-ml-667ac92af0520-large.png
Condicionador Curlys Cachos Bela Pro 300 mL,300 mL,22,Bela Pro,Em estoque,O Condicionador Curlys Cachos da Bela Pro condiciona os fios perfeitamente deixando os cachos estruturados e com brilho intenso. Possui silicones que permitem a lubrificação dos cabelos deixando-os macios e saudáveis. Resultado: Cachos perfeitos!,Y6H5QMT4P,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-curlys-cachos-bela-pro-300-ml-653727380b1a3-large.png
Condicionador doÈden Capim-Limão e Alecrim 300 mL,300 mL,35,Condicionador,Em estoque,"O Condicionador doÈden Capim Limão e Alecrim Eco Belle foi desenvolvido tendo como ativo principal o óleo essencial de Capim Limão e Alecrim, juntos ajudam a controlar a oleosidade excessiva do couro cabeludo e fortalece os fios fracos e quebradiços sem ressecá-los. Enriquecido com silicones especiais trata as pontas secas dos cabelos, deixando os fios equilibrados da raiz às pontas.",HP9LFWALK,https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-doeden-capim-limao-alecrim-300-ml-64ef94abee37f-large.png
